fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.8,0.867332594,-1,84,30,0.013007209,24.60969267,AA,3761,6004.91613,4693.874891,5614.402928,1568,14,CA,118,0,BC,0,1,30,1,200,0,INTERNET,3.039028937,other,1,1,0,2
0,0.9,0.702212542,-1,33,20,20.39859592,-1.115973401,AD,592,4443.831301,3024.086327,5544.98242,615,10,CA,106,1,BB,1,1,3,0,200,0,INTERNET,7.900160546,linux,0,1,0,2
0,0.8,0.070853989,-1,160,30,0.019529515,41.38596184,AA,1712,7458.014951,4110.042703,5428.058757,890,13,CA,146,1,BB,0,1,2,1,200,0,INTERNET,3.657091274,linux,0,1,0,2
0,0.8,0.242005063,-1,78,50,0.383555034,-0.961412009,AC,799,5286.783008,3711.953919,5187.359363,1,3,CC,122,1,BB,0,1,-1,0,200,0,INTERNET,9.93454085,linux,1,1,0,2
0,0.6,0.393752246,103,2,50,0.006928161,-0.857291466,AC,516,5361.029031,2925.088319,3143.200412,2,5,CF,125,0,BC,1,1,-1,0,200,0,INTERNET,13.11990958,other,1,2,0,2
0,0.8,0.495046551,-1,31,30,0.005954197,-0.890859434,AD,2866,10741.3202,6147.176895,5482.923679,18,12,CA,181,1,BB,1,1,31,0,1500,0,INTERNET,8.86535836,linux,1,1,0,2
0,0.4,0.462612423,33,11,20,0.025029407,-0.587716788,AD,818,3539.347148,4213.278038,5060.038061,1427,23,CA,260,1,BC,0,1,1,0,1500,0,INTERNET,3.211537061,linux,1,1,0,2
0,0.1,0.449502389,-1,71,40,2.856893743,-1.600510739,AB,1556,10317.04182,6014.936626,5138.884556,8,9,CA,-32,1,BB,0,1,31,0,200,0,INTERNET,2.266691286,linux,1,1,0,2
0,0.1,0.595509738,-1,200,60,0.014168694,-0.731932249,AC,1081,4751.043618,3713.732939,5609.396994,0,2,CA,175,0,BA,1,0,-1,0,1500,0,INTERNET,6.460019033,windows,0,1,0,2
0,0.6,0.71817161,-1,80,30,0.017854742,19.63112948,AA,2861,9327.536288,6298.385051,5582.74707,16,13,CB,122,0,BA,1,1,2,0,200,0,INTERNET,6.607109246,other,1,1,0,2
0,0.1,0.883311592,10,5,30,0.016050254,-1.706997262,AD,2837,5731.819813,4427.443172,5569.616808,35,16,CA,14,0,BB,1,1,29,0,200,0,INTERNET,4.924186334,windows,1,1,0,2
0,0.3,0.062546796,26,6,30,0.037613752,103.2773064,AD,992,1995.227359,4687.572056,5178.630255,17,8,CA,289,1,BC,0,1,26,1,1500,1,INTERNET,3.469990679,linux,0,1,0,2
0,0.2,0.888298555,-1,63,30,0.007968365,-1.309222081,AC,3062,5782.189512,5238.442646,5630.176538,1,12,CA,38,1,BB,1,1,-1,0,200,0,INTERNET,3.715414288,windows,0,1,0,2
0,0.6,0.058388893,56,9,30,0.003199363,-1.403545918,AC,3097,5895.725603,4734.606669,5163.518994,1,8,CB,87,0,BC,0,1,-1,0,200,0,INTERNET,12.1821906,linux,0,1,0,2
0,0.9,0.174348252,-1,66,30,0.042706332,-1.766084014,AB,3009,3627.793735,3373.8139,5584.232865,5,11,CA,103,0,BB,1,1,28,0,200,0,INTERNET,2.735449196,other,1,1,0,2
0,0.1,0.084352214,-1,94,40,0.033516389,17.57406314,AA,1324,8433.465756,5473.930195,5128.949324,516,4,CA,89,0,BC,0,1,1,0,200,0,INTERNET,14.7619815,linux,0,1,0,2
0,0.4,0.290876496,-1,82,40,0.006407817,-1.097184832,AB,1703,784.7829681,3101.666395,5133.413005,41,7,CE,104,1,BC,0,0,19,0,200,0,INTERNET,3.225770751,linux,0,1,0,2
